Comunidad,Grupo Penal,Año,Hechos conocidos,Hechos esclarecidos
Canarias,Amenazas y coacciones,2019,861.0,656.0
Canarias,Amenazas y coacciones,2018,847.0,664.0
Canarias,Amenazas y coacciones,2017,759.0,596.0
Canarias,Amenazas y coacciones,2016,848.0,621.0
Canarias,Amenazas y coacciones,2015,729.0,558.0
Canarias,Amenazas y coacciones,2014,717.0,546.0
Canarias,Amenazas y coacciones,2013,673.0,523.0
Canarias,Amenazas y coacciones,2012,750.0,556.0
Canarias,Amenazas y coacciones,2011,818.0,576.0
Canarias,Contra el honor,2019,95.0,52.0
Canarias,Contra el honor,2018,74.0,45.0
Canarias,Contra el honor,2017,88.0,41.0
Canarias,Contra el honor,2016,77.0,43.0
Canarias,Contra el honor,2015,126.0,81.0
Canarias,Contra el honor,2014,124.0,84.0
Canarias,Contra el honor,2013,86.0,54.0
Canarias,Contra el honor,2012,97.0,71.0
Canarias,Contra el honor,2011,139.0,79.0
Canarias,Contra la propiedad industrial/intelectual,2019,4.0,4.0
Canarias,Contra la propiedad industrial/intelectual,2018,2.0,3.0
Canarias,Contra la propiedad industrial/intelectual,2017,4.0,3.0
Canarias,Contra la propiedad industrial/intelectual,2016,6.0,3.0
Canarias,Contra la propiedad industrial/intelectual,2015,5.0,5.0
Canarias,Contra la propiedad industrial/intelectual,2014,2.0,2.0
Canarias,Contra la propiedad industrial/intelectual,2013,1.0,0.0
Canarias,Contra la propiedad industrial/intelectual,2012,3.0,2.0
Canarias,Contra la propiedad industrial/intelectual,2011,11.0,9.0
Canarias,Delitos sexuales,2019,129.0,88.0
Canarias,Delitos sexuales,2018,87.0,70.0
Canarias,Delitos sexuales,2017,75.0,57.0
Canarias,Delitos sexuales,2016,52.0,40.0
Canarias,Delitos sexuales,2015,65.0,46.0
Canarias,Delitos sexuales,2014,57.0,43.0
Canarias,Delitos sexuales,2013,50.0,32.0
Canarias,Delitos sexuales,2012,70.0,49.0
Canarias,Delitos sexuales,2011,52.0,24.0
Canarias,Falsificación informática,2019,205.0,79.0
Canarias,Falsificación informática,2018,152.0,51.0
Canarias,Falsificación informática,2017,209.0,126.0
Canarias,Falsificación informática,2016,97.0,42.0
Canarias,Falsificación informática,2015,110.0,36.0
Canarias,Falsificación informática,2014,66.0,31.0
Canarias,Falsificación informática,2013,69.0,19.0
Canarias,Falsificación informática,2012,51.0,16.0
Canarias,Falsificación informática,2011,83.0,17.0
Canarias,Fraude informático,2019,7286.0,985.0
Canarias,Fraude informático,2018,3097.0,646.0
Canarias,Fraude informático,2017,2172.0,535.0
Canarias,Fraude informático,2016,1696.0,386.0
Canarias,Fraude informático,2015,1838.0,334.0
Canarias,Fraude informático,2014,1371.0,297.0
Canarias,Fraude informático,2013,1161.0,282.0
Canarias,Fraude informático,2012,2118.0,271.0
Canarias,Fraude informático,2011,1384.0,222.0
Canarias,Interferencia en los datos y en el sistema,2019,64.0,8.0
Canarias,Interferencia en los datos y en el sistema,2018,45.0,3.0
Canarias,Interferencia en los datos y en el sistema,2017,49.0,2.0
Canarias,Interferencia en los datos y en el sistema,2016,47.0,3.0
Canarias,Interferencia en los datos y en el sistema,2015,39.0,5.0
Canarias,Interferencia en los datos y en el sistema,2014,12.0,2.0
Canarias,Interferencia en los datos y en el sistema,2013,19.0,4.0
Canarias,Interferencia en los datos y en el sistema,2012,7.0,0.0
Canarias,Interferencia en los datos y en el sistema,2011,5.0,3.0
Cantabria,Acceso e interceptación ilícita,2019,50.0,14.0
Cantabria,Acceso e interceptación ilícita,2018,36.0,10.0
Cantabria,Acceso e interceptación ilícita,2017,43.0,9.0
Cantabria,Acceso e interceptación ilícita,2016,38.0,6.0
Cantabria,Acceso e interceptación ilícita,2015,45.0,14.0
Cantabria,Acceso e interceptación ilícita,2014,21.0,9.0
Cantabria,Acceso e interceptación ilícita,2013,25.0,20.0
Cantabria,Acceso e interceptación ilícita,2012,23.0,10.0
Cantabria,Acceso e interceptación ilícita,2011,31.0,4.0
Cantabria,Amenazas y coacciones,2019,189.0,137.0
Cantabria,Amenazas y coacciones,2018,197.0,147.0
Cantabria,Amenazas y coacciones,2017,193.0,143.0
Cantabria,Amenazas y coacciones,2016,170.0,134.0
Cantabria,Amenazas y coacciones,2015,172.0,114.0
Cantabria,Amenazas y coacciones,2014,173.0,144.0
Cantabria,Amenazas y coacciones,2013,136.0,109.0
Cantabria,Amenazas y coacciones,2012,124.0,100.0
Cantabria,Amenazas y coacciones,2011,125.0,90.0
Cantabria,Contra el honor,2019,16.0,9.0
Cantabria,Contra el honor,2018,15.0,14.0
Cantabria,Contra el honor,2017,14.0,12.0
Cantabria,Contra el honor,2016,18.0,14.0
Cantabria,Contra el honor,2015,38.0,20.0
Cantabria,Contra el honor,2014,38.0,23.0
Cantabria,Contra el honor,2013,30.0,20.0
Cantabria,Contra el honor,2012,27.0,19.0
Cantabria,Contra el honor,2011,17.0,9.0
Cantabria,Contra la propiedad industrial/intelectual,2019,0.0,0.0
Cantabria,Contra la propiedad industrial/intelectual,2018,0.0,0.0
Cantabria,Contra la propiedad industrial/intelectual,2017,0.0,0.0
Cantabria,Contra la propiedad industrial/intelectual,2016,0.0,0.0
Cantabria,Contra la propiedad industrial/intelectual,2015,3.0,3.0
Cantabria,Contra la propiedad industrial/intelectual,2014,2.0,1.0
Cantabria,Contra la propiedad industrial/intelectual,2013,1.0,2.0
Cantabria,Contra la propiedad industrial/intelectual,2012,1.0,0.0
