Comunidad,Grupo Penal,Año,Hechos conocidos
Canarias,Fraude informático,2018,3097.0
Canarias,Fraude informático,2017,2172.0
Canarias,Fraude informático,2016,1696.0
Canarias,Fraude informático,2015,1838.0
Canarias,Fraude informático,2014,1371.0
Canarias,Fraude informático,2013,1161.0
Canarias,Fraude informático,2012,2118.0
Canarias,Fraude informático,2011,1384.0
Canarias,Interferencia en los datos y en el sistema,2019,64.0
Canarias,Interferencia en los datos y en el sistema,2018,45.0
Canarias,Interferencia en los datos y en el sistema,2017,49.0
Canarias,Interferencia en los datos y en el sistema,2016,47.0
Canarias,Interferencia en los datos y en el sistema,2015,39.0
Canarias,Interferencia en los datos y en el sistema,2014,12.0
Canarias,Interferencia en los datos y en el sistema,2013,19.0
Canarias,Interferencia en los datos y en el sistema,2012,7.0
Canarias,Interferencia en los datos y en el sistema,2011,5.0
Cantabria,Acceso e interceptación ilícita,2019,50.0
Cantabria,Acceso e interceptación ilícita,2018,36.0
Cantabria,Acceso e interceptación ilícita,2017,43.0
Cantabria,Acceso e interceptación ilícita,2016,38.0
Cantabria,Acceso e interceptación ilícita,2015,45.0
Cantabria,Acceso e interceptación ilícita,2014,21.0
Cantabria,Acceso e interceptación ilícita,2013,25.0
Cantabria,Acceso e interceptación ilícita,2012,23.0
Cantabria,Acceso e interceptación ilícita,2011,31.0
Cantabria,Amenazas y coacciones,2019,189.0
Cantabria,Amenazas y coacciones,2018,197.0
Cantabria,Amenazas y coacciones,2017,193.0
Cantabria,Amenazas y coacciones,2016,170.0
Cantabria,Amenazas y coacciones,2015,172.0
Cantabria,Amenazas y coacciones,2014,173.0
Cantabria,Amenazas y coacciones,2013,136.0
Cantabria,Amenazas y coacciones,2012,124.0
Cantabria,Amenazas y coacciones,2011,125.0
Cantabria,Contra el honor,2019,16.0
Cantabria,Contra el honor,2018,15.0
Cantabria,Contra el honor,2017,14.0
Cantabria,Contra el honor,2016,18.0
Cantabria,Contra el honor,2015,38.0
Cantabria,Contra el honor,2014,38.0
Cantabria,Contra el honor,2013,30.0
Cantabria,Contra el honor,2012,27.0
Cantabria,Contra el honor,2011,17.0
Cantabria,Contra la propiedad industrial/intelectual,2019,0.0
Cantabria,Contra la propiedad industrial/intelectual,2018,0.0
Cantabria,Contra la propiedad industrial/intelectual,2017,0.0
Cantabria,Contra la propiedad industrial/intelectual,2016,0.0
Cantabria,Contra la propiedad industrial/intelectual,2015,3.0
Cantabria,Contra la propiedad industrial/intelectual,2014,2.0
Cantabria,Contra la propiedad industrial/intelectual,2013,1.0
Cantabria,Contra la propiedad industrial/intelectual,2012,1.0
Cantabria,Contra la propiedad industrial/intelectual,2011,0.0
Cantabria,Delitos sexuales,2019,18.0
Cantabria,Delitos sexuales,2018,15.0
Cantabria,Delitos sexuales,2017,11.0
Cantabria,Delitos sexuales,2016,18.0
Cantabria,Delitos sexuales,2015,17.0
Cantabria,Delitos sexuales,2014,12.0
Cantabria,Delitos sexuales,2013,4.0
Cantabria,Delitos sexuales,2012,6.0
Cantabria,Delitos sexuales,2011,7.0
Cantabria,Falsificación informática,2019,26.0
Cantabria,Falsificación informática,2018,23.0
Cantabria,Falsificación informática,2017,18.0
Cantabria,Falsificación informática,2016,22.0
Cantabria,Falsificación informática,2015,6.0
Cantabria,Falsificación informática,2014,9.0
Cantabria,Falsificación informática,2013,5.0
Cantabria,Falsificación informática,2012,7.0
Cantabria,Falsificación informática,2011,13.0
Cantabria,Fraude informático,2019,1766.0
Cantabria,Fraude informático,2018,1704.0
Cantabria,Fraude informático,2017,1419.0
Cantabria,Fraude informático,2016,1028.0
Cantabria,Fraude informático,2015,776.0
Cantabria,Fraude informático,2014,589.0
Cantabria,Fraude informático,2013,281.0
Cantabria,Fraude informático,2012,233.0
Cantabria,Fraude informático,2011,231.0
Cantabria,Interferencia en los datos y en el sistema,2019,21.0
Cantabria,Interferencia en los datos y en el sistema,2018,10.0
Cantabria,Interferencia en los datos y en el sistema,2017,18.0
Cantabria,Interferencia en los datos y en el sistema,2016,13.0
Cantabria,Interferencia en los datos y en el sistema,2015,8.0
Cantabria,Interferencia en los datos y en el sistema,2014,6.0
Cantabria,Interferencia en los datos y en el sistema,2013,5.0
Cantabria,Interferencia en los datos y en el sistema,2012,8.0
Cantabria,Interferencia en los datos y en el sistema,2011,6.0
Castilla y León,Acceso e interceptación ilícita,2019,130.0
Castilla y León,Acceso e interceptación ilícita,2018,148.0
Castilla y León,Acceso e interceptación ilícita,2017,106.0
Castilla y León,Acceso e interceptación ilícita,2016,136.0
Castilla y León,Acceso e interceptación ilícita,2015,104.0
Castilla y León,Acceso e interceptación ilícita,2014,63.0
Castilla y León,Acceso e interceptación ilícita,2013,61.0
Castilla y León,Acceso e interceptación ilícita,2012,50.0
Castilla y León,Acceso e interceptación ilícita,2011,48.0
Castilla y León,Amenazas y coacciones,2019,806.0
Castilla y León,Amenazas y coacciones,2018,832.0
Castilla y León,Amenazas y coacciones,2017,711.0
Castilla y León,Amenazas y coacciones,2016,743.0
Castilla y León,Amenazas y coacciones,2015,627.0
Castilla y León,Amenazas y coacciones,2014,620.0
Castilla y León,Amenazas y coacciones,2013,575.0
Castilla y León,Amenazas y coacciones,2012,622.0
Castilla y León,Amenazas y coacciones,2011,692.0
Castilla y León,Contra el honor,2019,90.0
Castilla y León,Contra el honor,2018,100.0
Castilla y León,Contra el honor,2017,97.0
Castilla y León,Contra el honor,2016,98.0
Castilla y León,Contra el honor,2015,141.0
Castilla y León,Contra el honor,2014,169.0
Castilla y León,Contra el honor,2013,171.0
Castilla y León,Contra el honor,2012,175.0
Castilla y León,Contra el honor,2011,171.0
Castilla y León,Contra la propiedad industrial/intelectual,2019,4.0
Castilla y León,Contra la propiedad industrial/intelectual,2018,33.0
Castilla y León,Contra la propiedad industrial/intelectual,2017,8.0
Castilla y León,Contra la propiedad industrial/intelectual,2016,5.0
Castilla y León,Contra la propiedad industrial/intelectual,2015,10.0
Castilla y León,Contra la propiedad industrial/intelectual,2014,6.0
Castilla y León,Contra la propiedad industrial/intelectual,2013,3.0
Castilla y León,Contra la propiedad industrial/intelectual,2012,6.0
Castilla y León,Contra la propiedad industrial/intelectual,2011,21.0
