Comunidad,Grupo Penal,Año,Hechos esclarecidos
Aragón,Acceso e interceptación ilícita,2011,22.0
Aragón,Amenazas y coacciones,2019,235.0
Aragón,Amenazas y coacciones,2018,222.0
Aragón,Amenazas y coacciones,2017,208.0
Aragón,Amenazas y coacciones,2016,210.0
Aragón,Amenazas y coacciones,2015,188.0
Aragón,Amenazas y coacciones,2014,200.0
Aragón,Amenazas y coacciones,2013,199.0
Aragón,Amenazas y coacciones,2012,184.0
Aragón,Amenazas y coacciones,2011,230.0
Aragón,Contra el honor,2019,14.0
Aragón,Contra el honor,2018,35.0
Aragón,Contra el honor,2017,26.0
Aragón,Contra el honor,2016,40.0
Aragón,Contra el honor,2015,46.0
Aragón,Contra el honor,2014,44.0
Aragón,Contra el honor,2013,41.0
Aragón,Contra el honor,2012,46.0
Aragón,Contra el honor,2011,50.0
Aragón,Contra la propiedad industrial/intelectual,2019,2.0
Aragón,Contra la propiedad industrial/intelectual,2018,0.0
Aragón,Contra la propiedad industrial/intelectual,2017,1.0
Aragón,Contra la propiedad industrial/intelectual,2016,2.0
Aragón,Contra la propiedad industrial/intelectual,2015,2.0
Aragón,Contra la propiedad industrial/intelectual,2014,2.0
Aragón,Contra la propiedad industrial/intelectual,2013,1.0
Aragón,Contra la propiedad industrial/intelectual,2012,1.0
Aragón,Contra la propiedad industrial/intelectual,2011,1.0
Aragón,Delitos sexuales,2019,30.0
Aragón,Delitos sexuales,2018,18.0
Aragón,Delitos sexuales,2017,29.0
Aragón,Delitos sexuales,2016,20.0
Aragón,Delitos sexuales,2015,23.0
Aragón,Delitos sexuales,2014,21.0
Aragón,Delitos sexuales,2013,20.0
Aragón,Delitos sexuales,2012,15.0
Aragón,Delitos sexuales,2011,17.0
Aragón,Falsificación informática,2019,27.0
Aragón,Falsificación informática,2018,26.0
Aragón,Falsificación informática,2017,18.0
Aragón,Falsificación informática,2016,17.0
Aragón,Falsificación informática,2015,18.0
Aragón,Falsificación informática,2014,12.0
Aragón,Falsificación informática,2013,17.0
Aragón,Falsificación informática,2012,8.0
Aragón,Falsificación informática,2011,9.0
Aragón,Fraude informático,2019,505.0
Aragón,Fraude informático,2018,442.0
Aragón,Fraude informático,2017,342.0
Aragón,Fraude informático,2016,306.0
Aragón,Fraude informático,2015,245.0
Aragón,Fraude informático,2014,238.0
Aragón,Fraude informático,2013,197.0
Aragón,Fraude informático,2012,185.0
Aragón,Fraude informático,2011,152.0
Aragón,Interferencia en los datos y en el sistema,2019,2.0
Aragón,Interferencia en los datos y en el sistema,2018,4.0
Aragón,Interferencia en los datos y en el sistema,2017,2.0
Aragón,Interferencia en los datos y en el sistema,2016,0.0
Aragón,Interferencia en los datos y en el sistema,2015,2.0
Aragón,Interferencia en los datos y en el sistema,2014,1.0
Aragón,Interferencia en los datos y en el sistema,2013,3.0
Aragón,Interferencia en los datos y en el sistema,2012,1.0
Aragón,Interferencia en los datos y en el sistema,2011,1.0
Asturias,Acceso e interceptación ilícita,2019,24.0
Asturias,Acceso e interceptación ilícita,2018,12.0
Asturias,Acceso e interceptación ilícita,2017,26.0
Asturias,Acceso e interceptación ilícita,2016,17.0
Asturias,Acceso e interceptación ilícita,2015,17.0
Asturias,Acceso e interceptación ilícita,2014,16.0
Asturias,Acceso e interceptación ilícita,2013,14.0
Asturias,Acceso e interceptación ilícita,2012,13.0
Asturias,Acceso e interceptación ilícita,2011,17.0
Asturias,Amenazas y coacciones,2019,230.0
Asturias,Amenazas y coacciones,2018,186.0
Asturias,Amenazas y coacciones,2017,209.0
Asturias,Amenazas y coacciones,2016,206.0
Asturias,Amenazas y coacciones,2015,170.0
Asturias,Amenazas y coacciones,2014,183.0
Asturias,Amenazas y coacciones,2013,235.0
Asturias,Amenazas y coacciones,2012,196.0
Asturias,Amenazas y coacciones,2011,183.0
Asturias,Contra el honor,2019,22.0
Asturias,Contra el honor,2018,37.0
Asturias,Contra el honor,2017,41.0
Asturias,Contra el honor,2016,27.0
Asturias,Contra el honor,2015,41.0
Asturias,Contra el honor,2014,60.0
Asturias,Contra el honor,2013,61.0
Asturias,Contra el honor,2012,53.0
Asturias,Contra el honor,2011,33.0
Asturias,Contra la propiedad industrial/intelectual,2019,2.0
Asturias,Contra la propiedad industrial/intelectual,2018,1.0
Asturias,Contra la propiedad industrial/intelectual,2017,0.0
Asturias,Contra la propiedad industrial/intelectual,2016,2.0
